Virtual Address: 9058; Physical Address: 65634; Value: 8
Virtual Address: 51031; Physical Address: 65623; Value: 4294967253
Virtual Address: 32425; Physical Address: 65705; Value: 0
Virtual Address: 45483; Physical Address: 65707; Value: 106
Virtual Address: 44611; Physical Address: 65603; Value: 4294967184
Virtual Address: 63664; Physical Address: 65712; Value: 0
Virtual Address: 54920; Physical Address: 65672; Value: 0
Virtual Address: 7663; Physical Address: 65775; Value: 123
Virtual Address: 56480; Physical Address: 65696; Value: 0
Virtual Address: 1489; Physical Address: 65745; Value: 0
Virtual Address: 28438; Physical Address: 65558; Value: 27
Virtual Address: 65449; Physical Address: 65705; Value: 0
Virtual Address: 12441; Physical Address: 65689; Value: 0
Virtual Address: 58530; Physical Address: 65698; Value: 57
Virtual Address: 63570; Physical Address: 65618; Value: 57
Virtual Address: 26251; Physical Address: 65675; Value: 4294967202
Virtual Address: 15972; Physical Address: 65636; Value: 0
Virtual Address: 35826; Physical Address: 65778; Value: 34
Virtual Address: 5491; Physical Address: 65651; Value: 92
Virtual Address: 54253; Physical Address: 65773; Value: 0
Virtual Address: 49655; Physical Address: 65783; Value: 125
Virtual Address: 5868; Physical Address: 65772; Value: 0
Virtual Address: 20163; Physical Address: 65731; Value: 4294967216
Virtual Address: 51079; Physical Address: 65671; Value: 4294967265
Virtual Address: 21398; Physical Address: 65686; Value: 20
Virtual Address: 32756; Physical Address: 65780; Value: 0
Virtual Address: 64196; Physical Address: 65732; Value: 0
Virtual Address: 43218; Physical Address: 65746; Value: 42
Virtual Address: 21583; Physical Address: 65615; Value: 19
Virtual Address: 25086; Physical Address: 65790; Value: 24
Virtual Address: 45515; Physical Address: 65739; Value: 114
Virtual Address: 12893; Physical Address: 65629; Value: 0
Virtual Address: 22914; Physical Address: 65666; Value: 22
Virtual Address: 58969; Physical Address: 65625; Value: 0
Virtual Address: 20094; Physical Address: 65662; Value: 57
Virtual Address: 13730; Physical Address: 65698; Value: 13
Virtual Address: 44059; Physical Address: 65563; Value: 6
Virtual Address: 28931; Physical Address: 65539; Value: 64
Virtual Address: 13533; Physical Address: 65757; Value: 0
Virtual Address: 33134; Physical Address: 65646; Value: 32
Virtual Address: 28483; Physical Address: 65603; Value: 4294967248
Virtual Address: 1220; Physical Address: 65732; Value: 0
Virtual Address: 38174; Physical Address: 65566; Value: 37
Virtual Address: 53502; Physical Address: 65790; Value: 52
Virtual Address: 43328; Physical Address: 65600; Value: 0
Virtual Address: 4970; Physical Address: 65642; Value: 4
Virtual Address: 8090; Physical Address: 65690; Value: 7
Virtual Address: 2661; Physical Address: 65637; Value: 0
Virtual Address: 53903; Physical Address: 65679; Value: 4294967203
Virtual Address: 11025; Physical Address: 65553; Value: 0
Virtual Address: 26627; Physical Address: 65539; Value: 0
Virtual Address: 18117; Physical Address: 65733; Value: 0
Virtual Address: 14505; Physical Address: 65705; Value: 0
Virtual Address: 61528; Physical Address: 65624; Value: 0
Virtual Address: 20423; Physical Address: 65735; Value: 4294967281
Virtual Address: 26962; Physical Address: 65618; Value: 26
Virtual Address: 36392; Physical Address: 65576; Value: 0
Virtual Address: 11365; Physical Address: 65637; Value: 0
Virtual Address: 50882; Physical Address: 65730; Value: 49
Virtual Address: 41668; Physical Address: 65732; Value: 0
Virtual Address: 30497; Physical Address: 65569; Value: 0
Virtual Address: 36216; Physical Address: 65656; Value: 0
Virtual Address: 5619; Physical Address: 65779; Value: 124
Virtual Address: 36983; Physical Address: 65655; Value: 29
Virtual Address: 59557; Physical Address: 65701; Value: 0
Virtual Address: 36663; Physical Address: 65591; Value: 4294967245
Virtual Address: 36436; Physical Address: 65620; Value: 0
Virtual Address: 37057; Physical Address: 65729; Value: 0
